date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-01-01,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,31.4127385233806,
2020-01-03,,,,,,,,,,,60.56054728062868,27.233073736426668
2020-01-04,,,,,,,,,,,61.50305272171109,66.67341606059051
2020-01-05,,51.15877950857345,44.66168168038639,,,,,,,,,40.078555244141995
2020-01-06,,51.15877950857345,49.400709726968294,,,,,,,,,63.61779386671401
2020-01-07,,61.031800001169884,49.28050191355595,,51.15877950857345,49.28050191355595,,,,,,48.79967065990657
2020-01-08,,39.341597430658936,54.792358957838275,,42.664120166331784,49.28050191355595,,,,,17.180142139606783,
2020-01-09,,13.494771817302501,50.832006590254196,,37.26328590923619,49.28050191355595,,,,,9.80940149499822,
2020-01-10,,13.494771817302501,52.77430100696156,,29.49753211877203,53.01497486512344,,,,,,45.90543849426409
2020-01-11,,17.430058194088126,48.089018510306204,,17.430058194088126,49.59268092835493,,,,,25.300630947659375,49.561946376747954
2020-01-12,,17.430058194088126,42.128539542003246,,17.430058194088126,47.76061663052606,,,,,,30.918233754997686
2020-01-13,,17.5550162213288,42.128539542003246,,17.430058194088126,43.796322321479074,,,,,,
2020-01-14,,25.300630947659375,42.128539542003246,,17.430058194088126,42.128539542003246,,34.29441885133079,46.598516024223684,,,
2020-01-15,,25.300630947659375,42.37354775598803,,17.5550162213288,43.25652044055704,,34.294418851330796,46.60317681444533,,,46.64046313621844
2020-01-16,,25.306269527009434,45.87492923459206,,25.303450237334403,46.61843451495764,,33.27667401860227,47.9494682142568,,25.306269527009434,60.06609081256004
2020-01-17,,36.28218920055869,45.985686200981625,,32.62166978292558,43.687447746938105,,31.059600950848804,48.35121130603077,,47.25810887410794,31.250504654166367
2020-01-18,,51.196956983170615,47.425708072291755,,51.196956983170615,44.12421320883294,,34.31350758862936,46.85844706859393,,81.02649254839444,51.74577368622214
2020-01-19,,42.78816344082776,44.86385298737231,,42.78816344082776,44.86385298737231,,31.92040404936791,46.312234808949185,,17.56178281379921,34.61643264769451
2020-01-20,,42.78816344082776,51.49809072870285,,42.78816344082776,50.68848612995546,,31.92040404936791,47.9316206065649,,,79.81165184287119
2020-01-21,,60.768123458393674,57.430686426899534,,53.67575267211682,56.26571229761089,,40.08361724285606,52.0245604709286,,97.2261095972731,89.7290693035435
2020-01-22,,65.27146165315558,71.8114209736531,,53.67575267211682,64.339100047856,,43.35554225760596,56.67270746338365,,,103.15417738793421
2020-01-23,,57.39394620553615,76.20149799747014,,60.768123458393674,66.28625261824845,,48.94656571804058,58.09132840854395,,,73.69615880530728
2020-01-24,,79.98655092043963,86.62240428877467,,64.64034430076822,74.21060396825571,,50.9180552216928,61.49262220937337,,62.74699224360616,86.7209641042172
2020-01-25,,73.94911069208902,85.45545230345526,,59.85227872251657,77.38647800112028,,56.142855119939725,63.52720100433388,,61.87423023538782,73.97689191627408
2020-01-26,,62.31061123949699,73.1794026495335,,73.94911069208902,76.4911049134403,,56.142855119939725,63.313083277578635,,,28.348821033934634
2020-01-27,,64.79088549209389,65.68570896493331,,72.89969151838869,75.93768042520183,,57.843927479608226,63.313083277578635,,69.75143399728772,
2020-01-28,,55.21139894735276,45.346190514790784,,55.21139894735276,59.705849708734114,,54.35826212777724,57.8534680258216,,26.47293931312936,-7.661914995262782
2020-01-29,,45.59732191954421,25.383047528194822,,49.02725598435659,43.65821883705063,,51.35150432823671,54.79407795056121,,24.29068413237193,6.868392157833338
2020-01-30,,56.46218664701625,9.185099398835062,,58.4116615111765,37.6506308433993,,59.35424629006337,54.35474354539465,,105.333689145276,
2020-01-31,,56.46218664701625,9.178575744795095,,57.544595364690565,25.972288036918805,,60.698261558502864,54.111305663532,,,28.32925007181473
2020-02-01,,53.11702386263599,10.982620489198634,,56.44390588956634,14.455860598145836,,57.95873825976644,51.165387416547595,,56.370782859766685,16.394754722409257
2020-02-02,,78.46256190064523,17.197465650685775,,68.34577015216634,10.982620489198634,,70.21355033214056,52.669837850079695,,127.85509146516632,
2020-02-03,,81.98463882713375,22.362002397111993,,63.11702979233937,10.982620489198634,,67.0300944827591,49.95565645080055,,38.37899183832596,
2020-02-04,,74.20162205441966,23.060419084349608,,70.44584788818138,19.012412352720542,,63.674981692257546,43.42847476632868,,,24.457252458824836
2020-02-05,,77.38893184676193,38.1321937054585,,82.97788330646475,35.68145779704756,,66.00256964541066,40.467514421049394,,86.95086122378875,73.54457393514141
2020-02-06,,84.39498150909368,54.36218349960483,,77.38893184676193,41.5621110586077,,66.00256964541066,39.60637095100349,,,65.08472410484823
2020-02-07,,52.36971753996528,63.042749726130864,,68.26700538896577,53.71315072538655,,62.90580037682817,39.842719381152676,,31.779299557781144,89.08444840570898
2020-02-08,,59.36508039078495,63.042749726130864,,71.24106102126555,63.042749726130864,,63.02041928143265,36.05003354391696,,,
2020-02-09,,59.36508039078495,75.9045821485662,,52.36971753996528,63.042749726130864,,63.02041928143265,37.01268510766475,,,
2020-02-10,,32.10264842252357,58.47735423257327,,50.385386022945305,54.68677781833721,,58.873148535874684,35.26270789427562,,32.42599728726601,21.26289018716259
2020-02-11,,31.250222277238255,43.98201895736855,,45.17538201387588,54.115070982419056,,59.21452972182338,38.513889369219726,,29.545369986667623,21.59871827923409
2020-02-12,,38.049913306945484,20.695350231140555,,36.4822598696544,43.251044640795776,,62.313161778993475,39.886783821352125,,52.178372646902815,19.224442227024984
2020-02-13,,49.080183122855594,21.95849327892806,,45.620006409840705,35.383684304284245,,59.739528826250144,38.47289768144598,,82.17099257058592,25.747922422290564
